tweet_text,tweet_time,tweet_place
Ima eat you like sum food 🥘,Thu Jan 03 23:58:28 +0000 2019,"Shreveport, LA"
I’m not just no anybody,Thu Jan 03 23:56:43 +0000 2019,"Shreveport, LA"
Fuck you 🤣 https://t.co/oAWeS4zzge,Thu Jan 03 23:56:12 +0000 2019,"Shreveport, LA"
Brb gggggeee,Thu Jan 03 23:55:39 +0000 2019,"Shreveport, LA"
@DeeJay_LowkeyAf @eastsidekeshawn Naw mane 😂😂,Thu Jan 03 23:55:28 +0000 2019,"Shreveport, LA"
Phone dead af 🙄,Thu Jan 03 23:55:26 +0000 2019,"Shreveport, LA"
😂😂😂😂😂😂😂😂😂😂😂😂😂😂i’m ded af https://t.co/HMmGuR3OPK,Thu Jan 03 23:54:16 +0000 2019,"Shreveport, LA"
@foreignbae_ 👀,Thu Jan 03 23:54:08 +0000 2019,"Shreveport, LA"
Drinking a Polygamy Nitro Porter by @wasatchbeers @ Rotolo's Pizzeria Shreveport — https://t.co/8OpeFNanFA,Thu Jan 03 23:54:03 +0000 2019,"Shreveport, LA"
Lord bless her parents 🙌🏾,Thu Jan 03 23:53:59 +0000 2019,"Shreveport, LA"
"Can you recommend anyone for this job in Shreveport, LA? https://t.co/JzmDEXypuj",Thu Jan 03 23:53:54 +0000 2019,"Shreveport, LA"
"If the rain doesn’t stop, this is what Louisiana could look like on Google Maps! Since November 1st, Shreveport has… https://t.co/KPPxx2xBAz",Thu Jan 03 23:53:38 +0000 2019,"Shreveport, LA"
I’m him 👌🏾 https://t.co/kPlGetGPAo,Thu Jan 03 23:53:26 +0000 2019,"Shreveport, LA"
@DeeJay_LowkeyAf @eastsidekeshawn Ionno why I can’t see it,Thu Jan 03 23:53:22 +0000 2019,"Shreveport, LA"
👀👀🙂 https://t.co/dWQWvSmdH9,Thu Jan 03 23:52:47 +0000 2019,"Shreveport, LA"
