tweet_text,tweet_time,tweet_place
#Austin #Texas ❤️🤠❤️ @ Emma S. Barrientos Mexican American Cultural Center https://t.co/Qb01E3fy8t,Tue Jan 01 23:59:53 +0000 2019,"Austin, TX"
In trumps watch stock market suffers worst losses since 2008. https://t.co/bRK3fjXQqU,Tue Jan 01 23:59:38 +0000 2019,"Austin, TX"
Only thing missing from this is @kevinhowell26 .... COME HOME 😓😓 @ Downtown Austin https://t.co/v8sKgt2FvX,Tue Jan 01 23:59:24 +0000 2019,"Austin, TX"
"#HappyBirthday to that man, Mr. Stoyan! stoyan_vlahov I hope you had a great start to the year and enjoy all the bl… https://t.co/GW2LfV91OY",Tue Jan 01 23:59:17 +0000 2019,"Austin, TX"
@SnickerTate I love them,Tue Jan 01 23:59:11 +0000 2019,"Austin, TX"
I need to get back to LA where hangovers are more frowned upon,Tue Jan 01 23:59:03 +0000 2019,"Austin, TX"
@ESPNFrankie NEVA. some be on some goofy shit but we still love they thicc round delectable asses nonetheless,Tue Jan 01 23:58:54 +0000 2019,"Austin, TX"
Yuck make it go away. https://t.co/b608Wn5cSo,Tue Jan 01 23:58:44 +0000 2019,"Austin, TX"
"Only batons in Washington’s band too? What the hell, northern schools? Do y’all hate flag-throwing spectaculars or something?",Tue Jan 01 23:58:28 +0000 2019,"Austin, TX"
"Opening presents on New Years Day. @ Austin, Texas https://t.co/o8RWvZv9ae",Tue Jan 01 23:58:23 +0000 2019,"Austin, TX"
"If your New Years Resolution includes starting a new business, make your 2nd resolution to find an accountant and l… https://t.co/e4D7RbkB35",Tue Jan 01 23:58:14 +0000 2019,"Austin, TX"
"@realDonaldTrump We love it when you cite The Putin Propaganda Network and blather about 2020.

You’ll either be in… https://t.co/FJ84GaawPP",Tue Jan 01 23:58:13 +0000 2019,"Austin, TX"
"clear sky -&gt; overcast clouds
temperature down 60°F -&gt; 41°F
humidity up 67% -&gt; 78%",Tue Jan 01 23:58:02 +0000 2019,"Austin, TX"
"Happy 2019 , peace &amp; blessings all around , chase the money 2x",Tue Jan 01 23:57:58 +0000 2019,"Austin, TX"
@LUCALUSH @LightsAllNight They really hoed me by making me play during yo set 😭,Tue Jan 01 23:57:29 +0000 2019,"Austin, TX"
Is @msnbc broadcasting any news repeats tonight? Or just crap. I'm curious. #hardball #inners #maddow #lastword,Tue Jan 01 23:57:28 +0000 2019,"Austin, TX"
"Great drinks, great food, and a great place to eat at the Domain. 
#GrandLuxCafe #TheDomain #AustinTx
#Margarita… https://t.co/0RTkTcXlPj",Tue Jan 01 23:57:13 +0000 2019,"Austin, TX"
"Like if I’m ever feeling down about myself, just go to 6th",Tue Jan 01 23:57:04 +0000 2019,"Austin, TX"
hello AVENGERS ENDGAME COMES OUT THIS YEAR goodbye,Tue Jan 01 23:57:03 +0000 2019,"Austin, TX"
Been a lil minute 😎,Tue Jan 01 23:56:53 +0000 2019,"Austin, TX"
Infinity War. https://t.co/eL3h2fNFoi,Tue Jan 01 23:56:47 +0000 2019,"Austin, TX"
I forget how much men love me on 6th,Tue Jan 01 23:56:44 +0000 2019,"Austin, TX"
"is ""evangelists"" a marketing term i'm unfamiliar with or are we talking about evangelical christians lmao https://t.co/pLZ1NTuQ42",Tue Jan 01 23:56:40 +0000 2019,"Austin, TX"
"@VforVashaw @AlanCernyCS I keep mine extremely simple so that I don’t “crap out” just log date, star rating, whethe… https://t.co/r7TCRuqdyI",Tue Jan 01 23:56:03 +0000 2019,"Austin, TX"
"🤦🏻‍♂️🤣🤣🤣🤣 @ Austin, Texas https://t.co/Of8RHql0kX",Tue Jan 01 23:56:03 +0000 2019,"Austin, TX"
