,tweet_text,tweet_time,tweet_place
0,"Just realized 2 things. 
1.) An item I ordered from China still hasn’t arrived. Tariffs! 

2.) I order too much use… https://t.co/jJa5awcGty",Thu Jan 17 16:33:04 +0000 2019,"Shreveport, LA"
1,She really tried to get this man truck towed,Thu Jan 17 16:32:25 +0000 2019,"Shreveport, LA"
2,"After seeing new forecast for #ChiefsKingdom and #EverythingWeGot game, weather is",Thu Jan 17 16:32:15 +0000 2019,"Shreveport, LA"
3,This lady in the dental office is mean asf ..,Thu Jan 17 16:32:10 +0000 2019,"Shreveport, LA"
4,Nah my siblings that’s all 💀🤣,Thu Jan 17 16:26:10 +0000 2019,"Shreveport, LA"
5,"https://t.co/FiWSEtp3K1

🖤💛This why you have to be in the building and this is why we LOVE 💗 OUR SAINTS 🖤💛",Thu Jan 17 16:26:03 +0000 2019,"Shreveport, LA"
6,Ion got no family,Thu Jan 17 16:26:00 +0000 2019,"Shreveport, LA"
7,@PLAYGRRRRL I once had sex at a Roma’s Italian Bistro. Lol,Thu Jan 17 16:25:34 +0000 2019,"Shreveport, LA"
8,👏🏾 https://t.co/s3cniOvd8u,Thu Jan 17 16:23:57 +0000 2019,"Shreveport, LA"
9,Still my favorite tweet of all time lmaoooo https://t.co/F52loJKDTl,Thu Jan 17 16:23:24 +0000 2019,"Shreveport, LA"
10,I’m really the Soulja Boy of Longboarding 🛹,Thu Jan 17 16:22:44 +0000 2019,"Shreveport, LA"
11,Mr. Wick is #Excommunicado. Check out the trailer for the latest chapter… #JohnWick3 @JohnWickMovie  https://t.co/k4FVEugtCU,Thu Jan 17 16:22:12 +0000 2019,"Shreveport, LA"
12,"@BlacYoungstaFB once said, “show em yo momma made a hoe.” SOOOO come here @groovee_t 🤤😂. https://t.co/qF8TaAyiKC",Thu Jan 17 16:21:40 +0000 2019,"Shreveport, LA"
13,Nobody 💁🏽‍♀️ cause then comes me 💀🤣 https://t.co/pB8LisQXQh,Thu Jan 17 16:21:24 +0000 2019,"Shreveport, LA"
14,Proud to say that the @BPCCFoundation was part of @CEFEX1 growth in 2018! @BPCCCavs #Stewardship https://t.co/i3GLlNn3ez,Thu Jan 17 16:20:40 +0000 2019,"Shreveport, LA"
15,"#lol #martinlawrence @realmartymar @ North Shreveport, Louisiana https://t.co/mcAWpjtx5S",Thu Jan 17 16:05:40 +0000 2019,"Shreveport, LA"
16,Where they mama at? https://t.co/hvExCuE6kU,Thu Jan 17 16:02:13 +0000 2019,"Shreveport, LA"
17,👍👍💪💪👙👙🏋️‍♀️🏋️‍♀️ #GotGoals #GottaLookGoodNaked #BikiniCompetition @ Airport Park https://t.co/P0eu3maoA1,Thu Jan 17 15:58:58 +0000 2019,"Shreveport, LA"
18,Let #Trump speak from @senatemajldr ‘s senate. Let him approve (again) of the #TrumpShutdown . #DebasingOfAmerica… https://t.co/CskW6gwjJp,Thu Jan 17 15:51:01 +0000 2019,"Shreveport, LA"
19,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Food Serv… https://t.co/Cc8Cp4Y5iq",Thu Jan 17 15:50:33 +0000 2019,"Shreveport, LA"
20,"Build The Wall!!!
Democrats are endangering American Citizens! Time to Fund The Wall! #EndBorderCrisis",Thu Jan 17 15:50:26 +0000 2019,"Shreveport, LA"
21,@travisbhill5 Nope...shows me he ain’t sharing the ball.  Would be brutal to play with him.,Thu Jan 17 15:49:45 +0000 2019,"Shreveport, LA"
22,@GK_Morrison I don’t even want to hit them. Not even a little bit,Thu Jan 17 15:49:43 +0000 2019,"Shreveport, LA"
23,So this girl sister like me and the sister keep eyeing me down wtf I don’t go that way 😭🙅🏻‍♀️,Thu Jan 17 15:47:25 +0000 2019,"Shreveport, LA"
24,I did enjoy this episode and fight...its underrated https://t.co/p21nNmI4Hs,Thu Jan 17 15:46:46 +0000 2019,"Shreveport, LA"
25,This is so crazy!!! I’m shooketh to the core. https://t.co/L7Q7kG09ui,Thu Jan 17 15:43:18 +0000 2019,"Shreveport, LA"
26,❌GIRLS SOCCER HYPE❌ LINK IN BIO. byrdgirlssoccer :) @ Loyola College Prep https://t.co/Sx6ojvLNQL,Thu Jan 17 15:43:07 +0000 2019,"Shreveport, LA"
27,"Lunch service today @holmeshondacars in the Shreveport Auto Mall from 11am till 1:30pm.
#supportshreveportlocals… https://t.co/L7vo5jvTor",Thu Jan 17 15:41:58 +0000 2019,"Shreveport, LA"
28,Sometimes you have to say forget the lessons plans and have a real life talk with your students. I love doing this.,Thu Jan 17 15:39:42 +0000 2019,"Shreveport, LA"
29,When I stop caring I REALLY stop caring. Sorry boutcha,Thu Jan 17 15:39:34 +0000 2019,"Shreveport, LA"
30,"I’ll be deleting that, then. :/ https://t.co/2aMHieYD9r",Thu Jan 17 15:37:34 +0000 2019,"Shreveport, LA"
31,"Houses have doors. Houses STILL get broken into. 

Therefore, doors don't work, it's a waste of money to put doors… https://t.co/QErgl1mNPq",Thu Jan 17 15:34:48 +0000 2019,"Shreveport, LA"
