,tweet_text,tweet_time,tweet_place
0,@kylegriffin1 Unbelievable. 🙄🤯,Tue Jan 15 23:58:37 +0000 2019,"Shreveport, LA"
1,@EdKrassen @CNN Deep bench for the Dems.,Tue Jan 15 23:56:04 +0000 2019,"Shreveport, LA"
2,They tryna take you with them lol https://t.co/kcvAlIBMm3,Tue Jan 15 23:55:44 +0000 2019,"Shreveport, LA"
3,Ask Raz B... https://t.co/dMvO00TO6r,Tue Jan 15 23:54:57 +0000 2019,"Shreveport, LA"
4,Thnx buddy that’s very sweet of you I’ve to say u are the only one I heard from when I was n the hospital I’m prett… https://t.co/2pqIUoANnt,Tue Jan 15 23:52:48 +0000 2019,"Shreveport, LA"
5,"&amp; if he lost it all today, I’ll still be his girl tomorrow 🧡. I got him 🤞🏾.",Tue Jan 15 23:47:10 +0000 2019,"Shreveport, LA"
6,"I’m selfish idc about nobody but myself , I’ll admit that idc .",Tue Jan 15 23:44:13 +0000 2019,"Shreveport, LA"
7,@KimberlySade Lmfao,Tue Jan 15 23:41:46 +0000 2019,"Shreveport, LA"
8,weird flex . https://t.co/Js7v3a4liM,Tue Jan 15 23:39:19 +0000 2019,"Shreveport, LA"
9,#StupidQuestionsToYourself What's your sign? https://t.co/icaHoGRAQN,Tue Jan 15 23:38:14 +0000 2019,"Shreveport, LA"
10,@_ElroyJetson 😂,Tue Jan 15 23:37:08 +0000 2019,"Shreveport, LA"
11,"When I’m not in the mood , I suggest you don’t say nun to me . fr.",Tue Jan 15 23:36:37 +0000 2019,"Shreveport, LA"
12,I was just told blueface was better than yb😐,Tue Jan 15 23:36:24 +0000 2019,"Shreveport, LA"
13,Myself https://t.co/RsPmuVPzly,Tue Jan 15 23:36:22 +0000 2019,"Shreveport, LA"
14,@ThatGirlTeara https://t.co/ip5CuzzOXd,Tue Jan 15 23:35:57 +0000 2019,"Shreveport, LA"
15,@_ElroyJetson do tell. https://t.co/P3RYD1FhnZ,Tue Jan 15 23:35:19 +0000 2019,"Shreveport, LA"
16,I know who https://t.co/Dg1LS9C4JL,Tue Jan 15 23:34:15 +0000 2019,"Shreveport, LA"
17,😂 I wonder who be putting me in their gm,Tue Jan 15 23:32:47 +0000 2019,"Shreveport, LA"
18,minding my business&gt;,Tue Jan 15 23:32:08 +0000 2019,"Shreveport, LA"
19,New hair style of 2019... how I look great... #hairstyle #NewLook #Styling @VelVelHoller @ActualALove @MadisonRayne… https://t.co/9vfe3C0H7m,Tue Jan 15 23:32:06 +0000 2019,"Shreveport, LA"
20,Be evil https://t.co/h5GXgI2urf,Tue Jan 15 23:28:55 +0000 2019,"Shreveport, LA"
21,She got what she deserved 😂😂 https://t.co/snE0AbKddM,Tue Jan 15 23:28:03 +0000 2019,"Shreveport, LA"
22,i just tried on my scrubs for class and i heard my brother tell his friend in fortnite “my sister is basically a doctor nurse”,Tue Jan 15 23:27:55 +0000 2019,"Shreveport, LA"
23,@ThatGirlTeara From Wea,Tue Jan 15 23:27:49 +0000 2019,"Shreveport, LA"
24,@_ElroyJetson You get us some!,Tue Jan 15 23:27:28 +0000 2019,"Shreveport, LA"
25,@ThatGirlTeara Get us some,Tue Jan 15 23:27:08 +0000 2019,"Shreveport, LA"
26,"And just like that, drums and bass are finished for the new #shayliff record. It’s been a pleasure. Can’t wait for… https://t.co/An88HHrX0W",Tue Jan 15 23:27:08 +0000 2019,"Shreveport, LA"
27,@Kenton2x happy bday G,Tue Jan 15 23:26:56 +0000 2019,"Shreveport, LA"
28,Money man doesn’t have a bad a bad song,Tue Jan 15 23:26:41 +0000 2019,"Shreveport, LA"
29,@YT_21 😂🤣🤣,Tue Jan 15 23:26:04 +0000 2019,"Shreveport, LA"
30,I want some shrimp,Tue Jan 15 23:25:14 +0000 2019,"Shreveport, LA"
31,Please help Jasmine https://t.co/rFBc72m9qB,Tue Jan 15 23:22:49 +0000 2019,"Shreveport, LA"
32,I’m so ready for my second check fuck the 1st check BAHAHA,Tue Jan 15 23:22:30 +0000 2019,"Shreveport, LA"
33,@MoDrip_ I’m trying fam,Tue Jan 15 23:19:26 +0000 2019,"Shreveport, LA"
34,shoutout to @zale_kylie for being the only cute server at walk-on’s 🙆🏻‍♀️💫,Tue Jan 15 23:18:46 +0000 2019,"Shreveport, LA"
35,@MoDrip_ How you must move,Tue Jan 15 23:17:52 +0000 2019,"Shreveport, LA"
36,I’m about to work work on the craft,Tue Jan 15 23:16:40 +0000 2019,"Shreveport, LA"
37,At the @PhiladelphiaCe1 for our Tuesday night support group meeting and monthly Pot Luck dinner! 🍴🍲🍕 https://t.co/W4hrS6eXs6,Tue Jan 15 23:16:19 +0000 2019,"Shreveport, LA"
38,I’m ahead in my classes... now I’m about to work on my craft,Tue Jan 15 23:16:05 +0000 2019,"Shreveport, LA"
39,humble as i know how..,Tue Jan 15 23:12:28 +0000 2019,"Shreveport, LA"
40,Dead man walking . https://t.co/7gWl44s138,Tue Jan 15 23:10:32 +0000 2019,"Shreveport, LA"
41,I’m @groovee_t wife AND best friend. Either way it goes I’m getting rescued 🤷🏾‍♀️😂 https://t.co/HVrxpqkJqQ,Tue Jan 15 23:08:58 +0000 2019,"Shreveport, LA"
42,I think I wanna let @groovee_t do my makeup &amp; see how it goes 😂😂😂 https://t.co/gp2Q4hJkvR,Tue Jan 15 23:05:25 +0000 2019,"Shreveport, LA"
43,Setting up for Circle of Red photoshoot at @NadersGallery  for @GoRedForWomen https://t.co/TDWNeJ20q9,Tue Jan 15 23:04:44 +0000 2019,"Shreveport, LA"
44,"Him: Stop playing I’m not in the mood.
Me: https://t.co/rtkJVFwtIo",Tue Jan 15 23:03:08 +0000 2019,"Shreveport, LA"
45,Keep that negative energy from around me,Tue Jan 15 23:02:57 +0000 2019,"Shreveport, LA"
46,Kelly Services is looking for teammates like you. See our latest Manufacturing/ Production/ Operations job openings… https://t.co/uSO0RC8jRf,Tue Jan 15 23:02:48 +0000 2019,"Shreveport, LA"
47,I gotta indoor pool and an outdoor pool!,Tue Jan 15 22:59:10 +0000 2019,"Shreveport, LA"
48,really don't want talk to anyone for the rest of the day. 🤷🏽‍♀️,Tue Jan 15 22:57:21 +0000 2019,"Shreveport, LA"
49,u ok yeah I’m ok still very tired still sick with pneumonia I feel like falling  asleep n this chair need to talk t… https://t.co/HWB9X8R5LE,Tue Jan 15 22:55:11 +0000 2019,"Shreveport, LA"
50,@LilZayOsama I see.. I’m about to download now,Tue Jan 15 22:53:17 +0000 2019,"Shreveport, LA"
51,@_icecooooold @lonniqua_james Libras are so damn annoying,Tue Jan 15 22:51:40 +0000 2019,"Shreveport, LA"
52,🤷🏽‍♀️🤷🏽‍♀️,Tue Jan 15 22:48:33 +0000 2019,"Shreveport, LA"
53,@TheDreadheadRed https://t.co/Z0d5LYBEo7,Tue Jan 15 22:48:16 +0000 2019,"Shreveport, LA"
54,CIA can Back your camera and your microphone https://t.co/xDedzRSaRO,Tue Jan 15 22:47:40 +0000 2019,"Shreveport, LA"
55,#flatearth https://t.co/zK8hvWfnVC,Tue Jan 15 22:45:59 +0000 2019,"Shreveport, LA"
56,#flatearth https://t.co/aGdnDaqIyA,Tue Jan 15 22:45:41 +0000 2019,"Shreveport, LA"
57,#flatearth https://t.co/O9cNDtqfid,Tue Jan 15 22:45:22 +0000 2019,"Shreveport, LA"
58,@_IAmTokahontas 😭😭😭😭,Tue Jan 15 22:43:47 +0000 2019,"Shreveport, LA"
59,@essenviews D emoluments cause DW was put n place by d 4 daddys 2 advoid wat happened when King Charles was n offic… https://t.co/RZYsezB2P1,Tue Jan 15 22:32:14 +0000 2019,"Shreveport, LA"
60,@groovee_t 😂😂😂 https://t.co/uSauEASvM1,Tue Jan 15 22:30:26 +0000 2019,"Shreveport, LA"
61,"When i start throwing them curves, that’s when they caught feelings.",Tue Jan 15 22:25:50 +0000 2019,"Shreveport, LA"
62,@SpeakerPelosi @realDonaldTrump FU traitor n charge u tax evading posotus he is cause hes no potus n keep ur hands off my VA n SSID B,Tue Jan 15 22:23:20 +0000 2019,"Shreveport, LA"
63,You aren’t the first and you won’t be the last,Tue Jan 15 22:23:14 +0000 2019,"Shreveport, LA"
64,"Nervous to apply for a job like ""Retail Store Associate"" at CVS Health? Apply even if you're not a 100% match. You… https://t.co/lWQ8ngqlxE",Tue Jan 15 22:23:08 +0000 2019,"Shreveport, LA"
65,@ETCanada Call DT hell he'll giv advice on how to adviod paying,Tue Jan 15 22:21:27 +0000 2019,"Shreveport, LA"
66,If u guys have @Spotify give me a follow on there if u love #Classic bands like the best of @KISSOnline @MotleyCrue… https://t.co/JSPqKt1b5K,Tue Jan 15 22:19:54 +0000 2019,"Shreveport, LA"
67,🤧🧡 https://t.co/2F9ghY71qO,Tue Jan 15 22:19:00 +0000 2019,"Shreveport, LA"
68,"Special shoutout to my mom, grandmother, aunt, cousin and other ladies of AKA Sorority Inc.! #AKA https://t.co/zwm1EgwEk1",Tue Jan 15 22:18:14 +0000 2019,"Shreveport, LA"
69,Y’all be actin like people who got AirPods got money. They $160. If you ain’t got that you ain’t adulting right.,Tue Jan 15 22:16:28 +0000 2019,"Shreveport, LA"
70,@RickG603 I was curious about where the ones emanitating from my phone went when I laid it down on my bed. Face down.,Tue Jan 15 22:16:18 +0000 2019,"Shreveport, LA"
71,"@Just_Francine I can respect that, because I can’t do the cold weather.",Tue Jan 15 22:12:56 +0000 2019,"Shreveport, LA"
72,I wish i had good support systems..,Tue Jan 15 22:11:08 +0000 2019,"Shreveport, LA"
73,@SenWarren So they law states u must b given a lawyer when ur arrested rite? Well n FL u dont hav dat option ur arr… https://t.co/jx9rPafH29,Tue Jan 15 22:06:45 +0000 2019,"Shreveport, LA"
74,*posts about her standing desk while sitting on her office couch*,Tue Jan 15 22:00:42 +0000 2019,"Shreveport, LA"
75,@maydaymindy9 Nope another snake n d WH,Tue Jan 15 21:54:22 +0000 2019,"Shreveport, LA"
76,@Saints @Entergy Michael Thomas,Tue Jan 15 21:53:59 +0000 2019,"Shreveport, LA"
77,@RawStory Neither does d POSOTUS n charge either,Tue Jan 15 21:52:53 +0000 2019,"Shreveport, LA"
78,BE SAFE IN THE GHETTO MY BOY!,Tue Jan 15 21:47:51 +0000 2019,"Shreveport, LA"
79,😭😭😭😭😭😭😭😭 https://t.co/pPRQcPJewb,Tue Jan 15 21:46:10 +0000 2019,"Shreveport, LA"
80,"Awww, we couldn't wait any longer! King Cake Lattes will be available starting TOMORROW! 👑🍰☕️ #rhinocoffee https://t.co/dMtYwUPycA",Tue Jan 15 21:45:06 +0000 2019,"Shreveport, LA"
81,@HughhefnerB ‼️‼️‼️‼️,Tue Jan 15 21:34:27 +0000 2019,"Shreveport, LA"
82,Well since the mitsuki arc is wrapping up soon I decided to start working on a instrumental theme...here a teaser… https://t.co/ilPwyWQVPa,Tue Jan 15 21:32:28 +0000 2019,"Shreveport, LA"
83,please. one more in nyc. please king https://t.co/fxopkLnktk,Tue Jan 15 21:30:23 +0000 2019,"Shreveport, LA"
